case_id,route,failure_mode,outcome
SIM-000000,pilot,housing,scrapped
SIM-000001,pilot,housing,sellable
SIM-000002,pilot,display,sellable
SIM-000003,standard,power,sellable
SIM-000004,standard,housing,sellable
SIM-000005,pilot,display,sellable
SIM-000006,standard,housing,sellable
SIM-000007,pilot,power,sellable
SIM-000008,pilot,display,sellable
SIM-000009,standard,power,sellable
SIM-000010,standard,display,sellable
SIM-000011,pilot,power,sellable
SIM-000012,standard,display,sellable
SIM-000013,standard,power,sellable
SIM-000014,standard,display,sellable
SIM-000015,standard,power,sellable
SIM-000016,standard,power,scrapped
SIM-000017,standard,power,sellable
SIM-000018,standard,display,sellable
SIM-000019,pilot,display,sellable
SIM-000020,standard,power,sellable
SIM-000021,pilot,power,sellable
SIM-000022,pilot,display,sellable
SIM-000023,pilot,display,sellable
SIM-000024,pilot,housing,sellable
SIM-000025,standard,power,sellable
SIM-000026,pilot,display,sellable
SIM-000027,standard,housing,sellable
SIM-000028,pilot,power,sellable
SIM-000029,pilot,housing,sellable
SIM-000030,pilot,display,sellable
SIM-000031,standard,housing,sellable
SIM-000032,standard,housing,scrapped
SIM-000033,standard,power,sellable
SIM-000034,standard,housing,sellable
SIM-000035,pilot,display,sellable
SIM-000036,standard,housing,sellable
SIM-000037,pilot,power,sellable
SIM-000038,pilot,display,sellable
SIM-000039,pilot,power,sellable
SIM-000040,standard,display,sellable
SIM-000041,standard,housing,sellable
SIM-000042,pilot,display,sellable
SIM-000043,standard,display,sellable
SIM-000044,pilot,power,sellable
SIM-000045,standard,housing,sellable
SIM-000046,pilot,power,sellable
SIM-000047,pilot,housing,sellable
SIM-000048,pilot,display,sellable
SIM-000049,standard,display,sellable
SIM-000050,standard,power,sellable
SIM-000051,pilot,display,sellable
SIM-000052,standard,housing,sellable
SIM-000053,pilot,display,sellable
SIM-000054,standard,display,sellable
SIM-000055,standard,housing,sellable
SIM-000056,standard,display,sellable
SIM-000057,pilot,display,sellable
SIM-000058,standard,display,sellable
SIM-000059,pilot,display,sellable
SIM-000060,standard,display,sellable
SIM-000061,pilot,power,sellable
SIM-000062,standard,display,sellable
SIM-000063,pilot,power,sellable
SIM-000064,pilot,housing,sellable
SIM-000065,standard,housing,sellable
SIM-000066,standard,housing,sellable
SIM-000067,standard,power,sellable
SIM-000068,pilot,display,scrapped
SIM-000069,standard,housing,sellable
SIM-000070,pilot,power,sellable
SIM-000071,standard,display,scrapped
SIM-000072,pilot,display,sellable
SIM-000073,pilot,power,sellable
SIM-000074,pilot,housing,scrapped
SIM-000075,standard,display,sellable
SIM-000076,standard,housing,sellable
SIM-000077,standard,housing,sellable
SIM-000078,pilot,power,sellable
SIM-000079,pilot,housing,sellable
SIM-000080,standard,housing,sellable
SIM-000081,pilot,housing,sellable
SIM-000082,standard,power,sellable
SIM-000083,pilot,display,sellable
SIM-000084,pilot,power,sellable
SIM-000085,standard,housing,sellable
SIM-000086,pilot,power,sellable
SIM-000087,pilot,power,sellable
SIM-000088,pilot,display,sellable
SIM-000089,standard,housing,sellable
SIM-000090,pilot,power,sellable
SIM-000091,standard,power,sellable
SIM-000092,standard,display,scrapped
SIM-000093,standard,display,sellable
SIM-000094,pilot,power,sellable
SIM-000095,pilot,display,sellable
SIM-000096,standard,power,sellable
SIM-000097,standard,display,sellable
SIM-000098,standard,housing,sellable
SIM-000099,pilot,display,sellable
SIM-000100,standard,power,sellable
SIM-000101,standard,display,sellable
SIM-000102,standard,housing,sellable
SIM-000103,standard,display,sellable
SIM-000104,standard,power,sellable
SIM-000105,pilot,display,sellable
SIM-000106,pilot,housing,sellable
SIM-000107,pilot,housing,scrapped
SIM-000108,pilot,power,sellable
SIM-000109,pilot,power,sellable
SIM-000110,pilot,power,sellable
SIM-000111,standard,housing,sellable
SIM-000112,standard,housing,sellable
SIM-000113,standard,display,scrapped
SIM-000114,standard,display,sellable
SIM-000115,standard,power,sellable
SIM-000116,pilot,display,sellable
SIM-000117,pilot,power,sellable
SIM-000118,pilot,housing,scrapped
SIM-000119,pilot,housing,sellable
SIM-000120,standard,housing,sellable
SIM-000121,standard,power,sellable
SIM-000122,standard,display,sellable
SIM-000123,pilot,display,sellable
SIM-000124,pilot,display,scrapped
SIM-000125,standard,display,sellable
SIM-000126,pilot,display,sellable
SIM-000127,pilot,power,sellable
SIM-000128,pilot,display,sellable
SIM-000129,pilot,housing,sellable
SIM-000130,pilot,display,sellable
SIM-000131,pilot,power,sellable
SIM-000132,standard,housing,sellable
SIM-000133,standard,housing,sellable
SIM-000134,standard,housing,sellable
SIM-000135,pilot,housing,scrapped
SIM-000136,pilot,display,sellable
SIM-000137,standard,power,sellable
SIM-000138,standard,power,sellable
SIM-000139,standard,display,sellable
SIM-000140,pilot,display,sellable
SIM-000141,standard,power,sellable
SIM-000142,standard,display,sellable
SIM-000143,standard,power,sellable
SIM-000144,pilot,power,sellable
SIM-000145,standard,power,scrapped
SIM-000146,pilot,power,sellable
SIM-000147,pilot,power,sellable
SIM-000148,standard,power,sellable
SIM-000149,standard,power,sellable
SIM-000150,standard,housing,sellable
SIM-000151,pilot,housing,sellable
SIM-000152,standard,display,sellable
SIM-000153,standard,power,sellable
SIM-000154,pilot,display,sellable
SIM-000155,standard,power,sellable
SIM-000156,standard,display,sellable
SIM-000157,standard,display,sellable
SIM-000158,standard,power,sellable
SIM-000159,pilot,power,sellable
SIM-000160,standard,housing,sellable
SIM-000161,pilot,power,sellable
SIM-000162,standard,housing,sellable
SIM-000163,standard,display,sellable
SIM-000164,pilot,power,sellable
SIM-000165,pilot,display,sellable
SIM-000166,standard,display,scrapped
SIM-000167,standard,housing,sellable
SIM-000168,pilot,power,sellable
SIM-000169,pilot,display,sellable
SIM-000170,pilot,display,sellable
SIM-000171,pilot,housing,sellable
SIM-000172,standard,power,sellable
SIM-000173,pilot,power,sellable
SIM-000174,standard,housing,sellable
SIM-000175,pilot,housing,sellable
SIM-000176,pilot,display,sellable
SIM-000177,pilot,power,sellable
SIM-000178,standard,housing,sellable
SIM-000179,standard,display,sellable
SIM-000180,pilot,display,sellable
SIM-000181,pilot,power,sellable
SIM-000182,standard,housing,sellable
SIM-000183,standard,housing,sellable
SIM-000184,standard,power,sellable
SIM-000185,pilot,housing,sellable
SIM-000186,pilot,power,sellable
SIM-000187,pilot,housing,scrapped
SIM-000188,standard,display,sellable
SIM-000189,standard,power,sellable
SIM-000190,pilot,power,sellable
SIM-000191,standard,display,sellable
SIM-000192,standard,power,sellable
SIM-000193,standard,display,sellable
SIM-000194,pilot,power,sellable
SIM-000195,standard,power,sellable
SIM-000196,standard,display,sellable
SIM-000197,pilot,power,sellable
SIM-000198,pilot,display,sellable
SIM-000199,pilot,housing,sellable
SIM-000200,pilot,display,scrapped
SIM-000201,pilot,housing,scrapped
SIM-000202,pilot,power,sellable
SIM-000203,standard,housing,sellable
SIM-000204,standard,housing,sellable
SIM-000205,pilot,power,sellable
SIM-000206,pilot,display,scrapped
SIM-000207,pilot,display,sellable
SIM-000208,standard,display,sellable
SIM-000209,standard,power,sellable
SIM-000210,standard,housing,sellable
SIM-000211,standard,power,sellable
SIM-000212,pilot,power,sellable
SIM-000213,pilot,display,sellable
SIM-000214,standard,power,sellable
SIM-000215,pilot,display,sellable
SIM-000216,pilot,housing,sellable
SIM-000217,standard,power,sellable
SIM-000218,pilot,power,sellable
SIM-000219,standard,display,sellable
SIM-000220,standard,housing,sellable
SIM-000221,standard,power,sellable
SIM-000222,standard,power,sellable
SIM-000223,pilot,housing,scrapped
SIM-000224,pilot,power,scrapped
SIM-000225,standard,housing,sellable
SIM-000226,pilot,power,sellable
SIM-000227,standard,housing,sellable
SIM-000228,pilot,power,sellable
SIM-000229,standard,housing,sellable
SIM-000230,pilot,housing,sellable
SIM-000231,pilot,power,sellable
SIM-000232,pilot,housing,scrapped
SIM-000233,pilot,power,sellable
SIM-000234,pilot,display,sellable
SIM-000235,standard,power,sellable
SIM-000236,pilot,display,sellable
SIM-000237,pilot,display,sellable
SIM-000238,standard,power,sellable
SIM-000239,pilot,display,sellable
SIM-000240,pilot,power,sellable
SIM-000241,pilot,housing,sellable
SIM-000242,standard,display,sellable
SIM-000243,standard,power,sellable
SIM-000244,standard,display,sellable
SIM-000245,pilot,housing,sellable
SIM-000246,standard,housing,sellable
SIM-000247,standard,housing,sellable
SIM-000248,standard,power,sellable
SIM-000249,standard,housing,sellable
SIM-000250,pilot,display,sellable
SIM-000251,pilot,power,sellable
SIM-000252,standard,housing,sellable
SIM-000253,standard,power,sellable
SIM-000254,pilot,housing,scrapped
SIM-000255,standard,display,sellable
SIM-000256,pilot,power,sellable
SIM-000257,pilot,display,sellable
SIM-000258,pilot,housing,sellable
SIM-000259,standard,display,sellable
SIM-000260,standard,display,sellable
SIM-000261,pilot,display,sellable
SIM-000262,pilot,power,sellable
SIM-000263,pilot,display,sellable
SIM-000264,pilot,housing,sellable
SIM-000265,standard,housing,sellable
SIM-000266,standard,housing,sellable
SIM-000267,pilot,housing,sellable
SIM-000268,pilot,housing,sellable
SIM-000269,standard,housing,sellable
SIM-000270,standard,housing,sellable
SIM-000271,standard,housing,sellable
SIM-000272,standard,housing,scrapped
SIM-000273,standard,housing,sellable
SIM-000274,standard,display,sellable
SIM-000275,standard,display,sellable
SIM-000276,pilot,power,sellable
SIM-000277,pilot,housing,sellable
SIM-000278,standard,housing,sellable
SIM-000279,standard,housing,sellable
SIM-000280,standard,housing,sellable
SIM-000281,pilot,power,sellable
SIM-000282,standard,power,sellable
SIM-000283,standard,power,sellable
SIM-000284,standard,housing,sellable
SIM-000285,standard,housing,sellable
SIM-000286,standard,housing,sellable
SIM-000287,standard,housing,sellable
SIM-000288,standard,display,sellable
SIM-000289,standard,housing,sellable
SIM-000290,pilot,housing,sellable
SIM-000291,pilot,housing,scrapped
SIM-000292,standard,housing,sellable
SIM-000293,pilot,display,sellable
SIM-000294,pilot,display,sellable
SIM-000295,standard,display,sellable
SIM-000296,standard,housing,sellable
SIM-000297,pilot,housing,sellable
SIM-000298,pilot,power,sellable
SIM-000299,pilot,display,sellable
SIM-000300,standard,housing,sellable
SIM-000301,pilot,power,sellable
SIM-000302,standard,display,sellable
SIM-000303,pilot,display,scrapped
SIM-000304,standard,display,sellable
SIM-000305,standard,power,sellable
SIM-000306,standard,display,sellable
SIM-000307,pilot,display,sellable
SIM-000308,standard,power,sellable
SIM-000309,pilot,display,sellable
SIM-000310,standard,power,sellable
SIM-000311,standard,power,sellable
SIM-000312,standard,power,sellable
SIM-000313,standard,housing,sellable
SIM-000314,standard,power,sellable
SIM-000315,standard,housing,sellable
SIM-000316,pilot,power,sellable
SIM-000317,standard,power,sellable
SIM-000318,standard,display,sellable
SIM-000319,standard,display,sellable
SIM-000320,standard,display,sellable
SIM-000321,standard,display,sellable
SIM-000322,standard,display,sellable
SIM-000323,standard,display,sellable
SIM-000324,pilot,display,sellable
SIM-000325,pilot,display,sellable
SIM-000326,pilot,power,sellable
SIM-000327,pilot,display,sellable
SIM-000328,standard,power,sellable
SIM-000329,pilot,display,sellable
SIM-000330,standard,housing,sellable
SIM-000331,standard,housing,sellable
SIM-000332,pilot,display,sellable
SIM-000333,standard,power,sellable
SIM-000334,standard,housing,sellable
SIM-000335,standard,housing,sellable
SIM-000336,standard,housing,sellable
