event_id,case_id,parts_cents,labor_cents,logistics_cents
SIM-000000-A1,SIM-000000,896,489,150
SIM-000001-A1,SIM-000001,993,817,150
SIM-000001-A2,SIM-000001,1364,614,150
SIM-000002-A1,SIM-000002,1341,605,150
SIM-000003-A1,SIM-000003,801,1054,150
SIM-000004-A1,SIM-000004,1332,970,150
SIM-000005-A1,SIM-000005,1085,727,150
SIM-000006-A1,SIM-000006,1118,1244,150
SIM-000007-A1,SIM-000007,1370,778,150
SIM-000007-A2,SIM-000007,963,425,150
SIM-000008-A1,SIM-000008,1015,522,150
SIM-000008-A2,SIM-000008,719,685,150
SIM-000009-A1,SIM-000009,873,965,150
SIM-000010-A1,SIM-000010,1145,1466,150
SIM-000011-A1,SIM-000011,926,487,150
SIM-000012-A1,SIM-000012,879,1243,150
SIM-000013-A1,SIM-000013,1078,1179,150
SIM-000014-A1,SIM-000014,676,1396,150
SIM-000015-A1,SIM-000015,1582,1300,150
SIM-000016-A1,SIM-000016,1292,1013,150
SIM-000017-A1,SIM-000017,1424,1223,150
SIM-000018-A1,SIM-000018,1307,1219,150
SIM-000019-A1,SIM-000019,1156,725,150
SIM-000020-A1,SIM-000020,767,1202,150
SIM-000021-A1,SIM-000021,827,683,150
SIM-000022-A1,SIM-000022,823,517,150
SIM-000023-A1,SIM-000023,1212,414,150
SIM-000024-A1,SIM-000024,1587,696,150
SIM-000025-A1,SIM-000025,1595,1116,150
SIM-000026-A1,SIM-000026,1131,454,150
SIM-000027-A1,SIM-000027,1320,1466,150
SIM-000028-A1,SIM-000028,740,674,150
SIM-000029-A1,SIM-000029,788,404,150
SIM-000029-A2,SIM-000029,1446,861,150
SIM-000030-A1,SIM-000030,873,450,150
SIM-000030-A2,SIM-000030,1130,741,150
SIM-000031-A1,SIM-000031,1527,1208,150
SIM-000032-A1,SIM-000032,1530,926,150
SIM-000032-A2,SIM-000032,1066,1449,150
SIM-000033-A1,SIM-000033,1038,959,150
SIM-000034-A1,SIM-000034,875,1265,150
SIM-000035-A1,SIM-000035,1368,573,150
SIM-000035-A2,SIM-000035,682,787,150
SIM-000036-A1,SIM-000036,933,1229,150
SIM-000037-A1,SIM-000037,1545,653,150
SIM-000038-A1,SIM-000038,1297,615,150
SIM-000038-A2,SIM-000038,917,750,150
SIM-000039-A1,SIM-000039,1598,803,150
SIM-000039-A2,SIM-000039,1185,477,150
SIM-000040-A1,SIM-000040,997,1435,150
SIM-000041-A1,SIM-000041,1200,1447,150
SIM-000042-A1,SIM-000042,1579,877,150
SIM-000043-A1,SIM-000043,1328,1054,150
SIM-000044-A1,SIM-000044,1053,784,150
SIM-000045-A1,SIM-000045,856,1414,150
SIM-000046-A1,SIM-000046,1104,439,150
SIM-000046-A2,SIM-000046,1040,444,150
SIM-000047-A1,SIM-000047,903,437,150
SIM-000047-A2,SIM-000047,895,573,150
SIM-000048-A1,SIM-000048,872,557,150
SIM-000048-A2,SIM-000048,992,842,150
SIM-000049-A1,SIM-000049,1373,1163,150
SIM-000050-A1,SIM-000050,1459,1346,150
SIM-000051-A1,SIM-000051,1594,865,150
SIM-000052-A1,SIM-000052,1489,1482,150
SIM-000052-A2,SIM-000052,1196,961,150
SIM-000053-A1,SIM-000053,1305,554,150
SIM-000054-A1,SIM-000054,813,1271,150
SIM-000055-A1,SIM-000055,988,973,150
SIM-000056-A1,SIM-000056,728,1498,150
SIM-000057-A1,SIM-000057,841,849,150
SIM-000057-A2,SIM-000057,1046,793,150
SIM-000058-A1,SIM-000058,942,1144,150
SIM-000059-A1,SIM-000059,1104,405,150
SIM-000060-A1,SIM-000060,1093,1001,150
SIM-000061-A1,SIM-000061,803,480,150
SIM-000062-A1,SIM-000062,1051,955,150
SIM-000063-A1,SIM-000063,1144,559,150
SIM-000064-A1,SIM-000064,634,797,150
SIM-000065-A1,SIM-000065,1226,973,150
SIM-000066-A1,SIM-000066,1522,1393,150
SIM-000067-A1,SIM-000067,1057,1237,150
SIM-000068-A1,SIM-000068,1427,807,150
SIM-000068-A2,SIM-000068,716,578,150
SIM-000069-A1,SIM-000069,1171,981,150
SIM-000069-A2,SIM-000069,641,1301,150
SIM-000070-A1,SIM-000070,1428,626,150
SIM-000070-A2,SIM-000070,648,747,150
SIM-000071-A1,SIM-000071,698,1043,150
SIM-000071-A2,SIM-000071,1087,1125,150
SIM-000072-A1,SIM-000072,617,623,150
SIM-000073-A1,SIM-000073,1497,567,150
SIM-000074-A1,SIM-000074,658,845,150
