case_id,route,failure_mode,outcome,total_cost_cents,attempts,sellable,repeat_repair,scrapped_cost_cents
SIM-000000,pilot,housing,scrapped,1535,1,False,False,1535
SIM-000001,pilot,housing,sellable,4088,2,True,True,0
SIM-000002,pilot,display,sellable,2096,1,True,False,0
SIM-000003,standard,power,sellable,2005,1,True,False,0
SIM-000004,standard,housing,sellable,2452,1,True,False,0
SIM-000005,pilot,display,sellable,1962,1,True,False,0
SIM-000006,standard,housing,sellable,2512,1,True,False,0
SIM-000007,pilot,power,sellable,3836,2,True,True,0
SIM-000008,pilot,display,sellable,3241,2,True,True,0
SIM-000009,standard,power,sellable,1988,1,True,False,0
SIM-000010,standard,display,sellable,2761,1,True,False,0
SIM-000011,pilot,power,sellable,1563,1,True,False,0
SIM-000012,standard,display,sellable,2272,1,True,False,0
SIM-000013,standard,power,sellable,2407,1,True,False,0
SIM-000014,standard,display,sellable,2222,1,True,False,0
SIM-000015,standard,power,sellable,3032,1,True,False,0
SIM-000016,standard,power,scrapped,2455,1,False,False,2455
SIM-000017,standard,power,sellable,2797,1,True,False,0
SIM-000018,standard,display,sellable,2676,1,True,False,0
SIM-000019,pilot,display,sellable,2031,1,True,False,0
SIM-000020,standard,power,sellable,2119,1,True,False,0
SIM-000021,pilot,power,sellable,1660,1,True,False,0
SIM-000022,pilot,display,sellable,1490,1,True,False,0
SIM-000023,pilot,display,sellable,1776,1,True,False,0
SIM-000024,pilot,housing,sellable,2433,1,True,False,0
SIM-000025,standard,power,sellable,2861,1,True,False,0
SIM-000026,pilot,display,sellable,1735,1,True,False,0
SIM-000027,standard,housing,sellable,2936,1,True,False,0
SIM-000028,pilot,power,sellable,1564,1,True,False,0
SIM-000029,pilot,housing,sellable,3799,2,True,True,0
SIM-000030,pilot,display,sellable,3494,2,True,True,0
SIM-000031,standard,housing,sellable,2885,1,True,False,0
SIM-000032,standard,housing,scrapped,5271,2,False,True,5271
SIM-000033,standard,power,sellable,2147,1,True,False,0
SIM-000034,standard,housing,sellable,2290,1,True,False,0
SIM-000035,pilot,display,sellable,3710,2,True,True,0
SIM-000036,standard,housing,sellable,2312,1,True,False,0
SIM-000037,pilot,power,sellable,2348,1,True,False,0
SIM-000038,pilot,display,sellable,3879,2,True,True,0
SIM-000039,pilot,power,sellable,4363,2,True,True,0
SIM-000040,standard,display,sellable,2582,1,True,False,0
SIM-000041,standard,housing,sellable,2797,1,True,False,0
SIM-000042,pilot,display,sellable,2606,1,True,False,0
SIM-000043,standard,display,sellable,2532,1,True,False,0
SIM-000044,pilot,power,sellable,1987,1,True,False,0
SIM-000045,standard,housing,sellable,2420,1,True,False,0
SIM-000046,pilot,power,sellable,3327,2,True,True,0
SIM-000047,pilot,housing,sellable,3108,2,True,True,0
SIM-000048,pilot,display,sellable,3563,2,True,True,0
SIM-000049,standard,display,sellable,2686,1,True,False,0
SIM-000050,standard,power,sellable,2955,1,True,False,0
SIM-000051,pilot,display,sellable,2609,1,True,False,0
SIM-000052,standard,housing,sellable,5428,2,True,True,0
SIM-000053,pilot,display,sellable,2009,1,True,False,0
SIM-000054,standard,display,sellable,2234,1,True,False,0
SIM-000055,standard,housing,sellable,2111,1,True,False,0
SIM-000056,standard,display,sellable,2376,1,True,False,0
SIM-000057,pilot,display,sellable,3829,2,True,True,0
SIM-000058,standard,display,sellable,2236,1,True,False,0
SIM-000059,pilot,display,sellable,1659,1,True,False,0
SIM-000060,standard,display,sellable,2244,1,True,False,0
SIM-000061,pilot,power,sellable,1433,1,True,False,0
SIM-000062,standard,display,sellable,2156,1,True,False,0
SIM-000063,pilot,power,sellable,1853,1,True,False,0
SIM-000064,pilot,housing,sellable,1581,1,True,False,0
SIM-000065,standard,housing,sellable,2349,1,True,False,0
SIM-000066,standard,housing,sellable,3065,1,True,False,0
SIM-000067,standard,power,sellable,2444,1,True,False,0
SIM-000068,pilot,display,scrapped,3828,2,False,True,3828
SIM-000069,standard,housing,sellable,4394,2,True,True,0
SIM-000070,pilot,power,sellable,3749,2,True,True,0
SIM-000071,standard,display,scrapped,4253,2,False,True,4253
SIM-000072,pilot,display,sellable,1390,1,True,False,0
SIM-000073,pilot,power,sellable,2214,1,True,False,0
SIM-000074,pilot,housing,scrapped,1653,1,False,False,1653
SIM-000075,standard,display,sellable,2397,1,True,False,0
SIM-000076,standard,housing,sellable,4698,2,True,True,0
SIM-000077,standard,housing,sellable,2550,1,True,False,0
SIM-000078,pilot,power,sellable,1780,1,True,False,0
SIM-000079,pilot,housing,sellable,2109,1,True,False,0
SIM-000080,standard,housing,sellable,2226,1,True,False,0
SIM-000081,pilot,housing,sellable,1683,1,True,False,0
SIM-000082,standard,power,sellable,2546,1,True,False,0
SIM-000083,pilot,display,sellable,2688,2,True,True,0
SIM-000084,pilot,power,sellable,1785,1,True,False,0
SIM-000085,standard,housing,sellable,2449,1,True,False,0
SIM-000086,pilot,power,sellable,2292,1,True,False,0
SIM-000087,pilot,power,sellable,1885,1,True,False,0
SIM-000088,pilot,display,sellable,3155,2,True,True,0
SIM-000089,standard,housing,sellable,1664,1,True,False,0
SIM-000090,pilot,power,sellable,1394,1,True,False,0
SIM-000091,standard,power,sellable,5227,2,True,True,0
SIM-000092,standard,display,scrapped,2374,1,False,False,2374
SIM-000093,standard,display,sellable,2223,1,True,False,0
SIM-000094,pilot,power,sellable,1710,1,True,False,0
SIM-000095,pilot,display,sellable,1807,1,True,False,0
SIM-000096,standard,power,sellable,4011,2,True,True,0
SIM-000097,standard,display,sellable,3104,1,True,False,0
SIM-000098,standard,housing,sellable,2849,1,True,False,0
SIM-000099,pilot,display,sellable,2198,1,True,False,0
